                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                0.53229,                0.51033,                0.12637,                0.84446,                0.76674,                0.85052,                 0.4746,                0.42276,                0.41985,                0.09937,                 0.0001,                 0.0001,                 0.0001
                    143,                0.52578,                0.50286,                 0.1252,                0.87592,                0.75304,                0.84927,                0.47406,                0.42295,                0.41984,                  0.099,                 0.0001,                 0.0001,                 0.0001
                    144,                0.53165,                0.50954,                0.12767,                0.87125,                0.74475,                0.84758,                0.47476,                0.42552,                0.42071,                0.09917,                 0.0001,                 0.0001,                 0.0001
                    145,                0.52401,                0.50461,                0.12336,                0.84546,                0.75603,                  0.848,                0.47629,                 0.4287,                0.42049,                0.09937,                 0.0001,                 0.0001,                 0.0001
                    146,                0.53278,                0.50692,                0.12913,                0.83804,                0.76801,                0.84849,                0.48071,                0.42595,                0.41843,                0.09888,                 0.0001,                 0.0001,                 0.0001
                    147,                0.52962,                0.50834,                0.12761,                0.84413,                0.77052,                0.84678,                0.47721,                0.42929,                0.41945,                0.09912,                 0.0001,                 0.0001,                 0.0001
                    148,                 0.5235,                0.50152,                0.12467,                0.84016,                0.77439,                0.84882,                0.47514,                0.42872,                0.41849,                0.09897,                 0.0001,                 0.0001,                 0.0001
                    149,                0.52534,                0.50168,                0.12486,                0.80729,                0.79062,                  0.844,                0.48097,                0.42094,                0.41606,                0.09803,                 0.0001,                 0.0001,                 0.0001
                    150,                0.51729,                0.50017,                0.12208,                0.83215,                0.77535,                 0.8489,                0.48503,                0.42111,                0.41561,                0.09781,                 0.0001,                 0.0001,                 0.0001
                    151,                0.52061,                0.50239,                 0.1238,                0.83279,                0.79073,                0.85556,                0.48272,                0.42735,                0.41699,                0.09875,                 0.0001,                 0.0001,                 0.0001
                    152,                0.51538,                0.50413,                0.12208,                0.83727,                0.78033,                0.86005,                0.48206,                 0.4257,                0.41643,                0.09844,                 0.0001,                 0.0001,                 0.0001
                    153,                 0.5191,                0.50168,                0.12312,                0.84724,                0.76629,                 0.8584,                0.48438,                0.42748,                0.41645,                0.09837,                 0.0001,                 0.0001,                 0.0001
                    154,                0.51443,                0.50241,                0.12233,                 0.8655,                0.76341,                0.85794,                0.48499,                0.42627,                0.41628,                0.09802,                 0.0001,                 0.0001,                 0.0001
                    155,                0.51947,                0.50028,                0.12371,                0.84196,                0.78495,                0.86128,                0.49042,                0.41849,                0.41297,                0.09704,                 0.0001,                 0.0001,                 0.0001
                    156,                0.51553,                0.50191,                0.12297,                 0.8449,                0.79531,                0.86064,                0.49509,                0.41185,                0.41024,                0.09605,                 0.0001,                 0.0001,                 0.0001
                    157,                0.51563,                0.50532,                  0.123,                0.86129,                0.78986,                0.86511,                0.49765,                0.40678,                0.40863,                0.09533,                 0.0001,                 0.0001,                 0.0001
                    158,                0.51595,                0.50201,                0.12345,                0.88422,                0.78358,                0.87109,                0.50599,                0.39844,                0.40596,                0.09456,                 0.0001,                 0.0001,                 0.0001
