                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.75692,                0.52356,                0.13344,                0.71199,                0.58058,                0.65586,                0.37627,                0.61732,                0.47054,                0.10801,                 0.0001,                 0.0001,                 0.0001
                     66,                0.75601,                0.52475,                0.13381,                0.72858,                0.58844,                0.65995,                0.38184,                0.61196,                0.46845,                0.10666,                 0.0001,                 0.0001,                 0.0001
                     67,                0.74909,                0.51764,                0.13057,                0.72886,                0.59701,                0.67194,                0.39281,                0.60734,                0.46593,                0.10601,                 0.0001,                 0.0001,                 0.0001
                     68,                0.75251,                0.52348,                0.13318,                0.73978,                0.61416,                0.68112,                0.40172,                0.59948,                0.46241,                0.10499,                 0.0001,                 0.0001,                 0.0001
                     69,                0.75476,                 0.5255,                0.13444,                0.72575,                0.62159,                0.68546,                 0.4075,                0.59485,                0.45986,                 0.1045,                 0.0001,                 0.0001,                 0.0001
                     70,                0.74839,                 0.5196,                 0.1318,                0.73899,                0.63332,                0.69299,                 0.4136,                0.59255,                0.45794,                0.10402,                 0.0001,                 0.0001,                 0.0001
                     71,                0.74087,                0.51756,                0.13087,                0.74386,                0.63892,                0.70172,                0.41924,                0.58808,                0.45607,                0.10341,                 0.0001,                 0.0001,                 0.0001
                     72,                0.74188,                0.52112,                0.13239,                0.74838,                0.64742,                0.70935,                0.42561,                0.58178,                0.45341,                0.10249,                 0.0001,                 0.0001,                 0.0001
                     73,                0.73498,                 0.5136,                0.12915,                0.75763,                0.64606,                0.72025,                0.43302,                0.57496,                0.44983,                 0.1016,                 0.0001,                 0.0001,                 0.0001
                     74,                0.73776,                0.51508,                0.13016,                0.75288,                0.65098,                0.73345,                 0.4403,                0.56822,                0.44761,                0.10049,                 0.0001,                 0.0001,                 0.0001
                     75,                0.74088,                0.51727,                0.13055,                 0.7678,                0.65896,                0.73865,                 0.4441,                0.56309,                0.44464,                0.09981,                 0.0001,                 0.0001,                 0.0001
                     76,                0.73415,                0.51597,                0.12903,                 0.7674,                 0.6695,                0.74616,                0.44867,                0.55774,                0.44248,                0.09916,                 0.0001,                 0.0001,                 0.0001
                     77,                 0.7282,                0.51098,                0.12718,                0.77159,                0.66491,                0.75133,                0.45221,                0.55478,                 0.4398,                 0.0983,                 0.0001,                 0.0001,                 0.0001
                     78,                0.72713,                0.50892,                0.12773,                0.78818,                0.67598,                0.76052,                 0.4615,                0.55065,                 0.4363,                0.09752,                 0.0001,                 0.0001,                 0.0001
